Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest,Practices,Medicines/Remedy
17,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
18,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
19,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
20,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
21,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
22,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
23,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
24,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
25,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
26,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
27,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
28,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease,Incorporate or roll the rice stubble soon after harvest to promote early decomposition.,tricyclazole
26,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
