Plant,Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest
Rice crops,17,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,18,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,19,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,20,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,21,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,22,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,23,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,24,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,25,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,26,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,27,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,28,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
Rice crops,26,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
Rice crops,27,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
Rice crops,28,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
Rice crops,29,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
Rice crops,30,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
Rice crops,30,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration
Rice crops,33,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration
Rice crops,25,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,26,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,27,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,28,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,29,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,30,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,31,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,32,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,33,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,34,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
Rice crops,40,0.5,0.7,0.45,0.54,6.2,7.2,Grain discoloration
Rice crops,28,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
Rice crops,29,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
Rice crops,30,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
Rice crops,31,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
Rice crops,32,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
Rice crops,30,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
Rice crops,31,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
Rice crops,32,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
Rice crops,33,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
Rice crops,34,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
Rice crops,35,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
Rice crops,25,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,26,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,27,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,28,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,29,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,30,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,31,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,32,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
Rice crops,16,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,17,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,18,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,19,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,20,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,21,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,22,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,23,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,24,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,25,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,26,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,27,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,28,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,29,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,30,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,31,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,32,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,33,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,34,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,35,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,36,0.86,1,0.69,0.9,5,6.2,Brown Spot
Rice crops,30,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,31,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,32,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,33,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,34,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,35,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,36,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,10,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,11,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,12,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,13,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,14,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,15,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,16,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
Rice crops,28,0.9,0.9,0.78,0.92,6.4,7,Tungro
Rice crops,29,0.9,0.9,0.78,0.92,6.4,7,Tungro
Rice crops,30,0.9,0.9,0.78,0.92,6.4,7,Tungro
Rice crops,31,0.9,0.9,0.78,0.92,6.4,7,Tungro
Rice crops,32,0.9,0.9,0.78,0.92,6.4,7,Tungro
Rice crops,28,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
Rice crops,29,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
Rice crops,30,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
Rice crops,31,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
Rice crops,32,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
Rice crops,30,0.85,0.85,0.68,0.73,5,6.5,Stem Rot
Rice crops,31,0.85,0.85,0.68,0.73,5,6.5,Stem Rot
Rice crops,32,0.85,0.85,0.68,0.73,5,6.5,Stem Rot
Rice crops,13,0.85,1,0.88,0.95,7.5,8.5,Cold Injury
Rice crops,14,0.85,1,0.88,0.95,7.5,8.5,Cold Injury
Rice crops,15,0.85,1,0.88,0.95,7.5,8.5,Cold Injury
Rice crops,16,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,17,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,18,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,19,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,20,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,21,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,22,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
