Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration
0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
0.5,0.7,0.45,0.54,6.2,7.2,Grain discoloration
0.85,1,0.65,0.8,5.4,7.3,Sheath blight
0.85,1,0.65,0.8,5.4,7.3,Sheath blight
0.85,1,0.65,0.8,5.4,7.3,Sheath blight
0.85,1,0.65,0.8,5.4,7.3,Sheath blight
0.85,1,0.65,0.8,5.4,7.3,Sheath blight
0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
